ID,Text,Sentiment,Date,User,Platform,Hashtags,Retweets,Likes,Country
71,Anticipating a thrilling adventure in the coming weeks.,Anticipation,2/17/2023,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA
72,A bitter experience turned into a valuable lesson.,Bitter,2/17/2023,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA
73,Finding calmness in the midst of a busy day.,Calmness,2/18/2023,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India
74,Confusion clouds my mind as I navigate through decisions.,Confusion,2/18/2023,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK
75,Excitement building up for the upcoming vacation!,Excitement,2/18/2023,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada
76,Kindness witnessed today restored my faith in humanity.,Kind,2/19/2023,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA
77,Pride in achieving a personal milestone.,Pride,2/19/2023,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia
78,A moment of shame for not standing up against injustice.,Shame,2/19/2023,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India
79,Fuming with anger after a heated argument.,Anger,2/20/2023,AngryDebater,Twitter,#Anger #Argument,20,40,Canada
80,The fear of the unknown is keeping me up at night.,Fear,2/20/2023,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA
81,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2/21/2023,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India
82,The state of corruption in our society is utterly disgusting.,Disgust,2/21/2023,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK
83,Overflowing happiness: welcoming a new family member!,Happiness,2/22/2023,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK
84,Laughter is the key to joy??ttending a stand-up comedy show.,Joy,2/22/2023,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada
85,Sending love to all my followers on this beautiful day! ???,Love,2/23/2023,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia
86,Amused by the antics of my pet??t's pure amusement!,Amusement,2/23/2023,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK
87,Enjoying every moment of this trip??ure enjoyment!,Enjoyment,2/23/2023,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA
88,Admiring the dedication of volunteers at a local charity.,Admiration,2/24/2023,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA
89,Sending affectionate vibes to friends and family.,Affection,2/24/2023,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA
90,Awe-struck by the beauty of the night sky.,Awe,2/24/2023,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia
91,Disappointed with the lack of progress in a personal project.,Disappointed,2/25/2023,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India
92,A surprise visit from an old friend brought tears of joy.,Surprise,2/25/2023,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA
93,Embracing acceptance of life's ups and downs.,Acceptance,2/25/2023,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada
94,Overflowing adoration for a cute rescue puppy! ??,Adoration,2/26/2023,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK
95,Anticipating the release of a much-awaited movie.,Anticipation,2/26/2023,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia
96,Bitter experience at the customer service department.,Bitter,2/26/2023,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA
97,Finding calmness amidst the chaos of daily life.,Calmness,2/27/2023,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India
98,Confusion reigns as I try to make sense of recent events.,Confusion,2/27/2023,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK
99,Excitement building up for a surprise birthday party.,Excitement,2/27/2023,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada
100,Witnessed an act of kindness that made my day.,Kind,2/28/2023,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA
101,Pride in completing a challenging fitness challenge.,Pride,2/28/2023,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK
102,A moment of shame for not speaking up against injustice.,Shame,2/28/2023,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India
103,Reflecting on the beauty of diversity in our world.,Acceptance,3/1/2023,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia
104,Excitement for a quiet evening with a good book.,Excitement,3/1/2023,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA
105,Feeling bitter about the unfairness in the workplace.,Bitter,3/1/2023,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada
106,Calmness prevails as I practice mindfulness.,Calmness,3/2/2023,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK
107,Confusion surrounds me as I navigate through life's choices.,Confusion,3/2/2023,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA
108,Excitement for a weekend road trip to explore new places.,Excitement,3/2/2023,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India
109,Kindness witnessed today restores my faith in humanity.,Kind,3/3/2023,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA
110,Pride in accomplishing personal and professional goals.,Pride,3/3/2023,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada
111,Shame for not being true to my values in a difficult situation.,Shame,3/3/2023,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK
112,"Revisiting old memories, feeling a sense of elation.",Elation,5/15/2010,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada
113,The victory of our team brought euphoria to the city.,Euphoria,8/10/2021,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA
114,"Embracing the beauty of nature, a moment of contentment.",Contentment,6/20/2011,NatureLover2,Facebook,#Contentment #Nature,25,50,India
115,"Meditating by the serene lake, finding inner peace.",Serenity,2/12/2022,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK
116,Overflowing with gratitude for life's blessings.,Gratitude,11/25/2012,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia
117,"Hopeful for a brighter tomorrow, despite challenges.",Hope,4/5/2013,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA
118,Empowered to make a difference in my community.,Empowerment,9/14/2014,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK
119,Compassion in action: supporting a local charity event.,Compassion,7/18/2015,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada
120,"A moment of tenderness, connecting with loved ones.",Tenderness,2/23/2016,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK
121,Arousal of excitement as I await a special announcement.,Arousal,10/30/2017,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia
122,Enthusiastically diving into a new project.,Enthusiasm,6/15/2018,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA
123,Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,3/28/2019,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India
124,Reverence for the beauty of a historic landmark.,Reverence,11/11/2019,HistoryLover,Twitter,#Reverence #History,18,35,UK
125,Elation after a surprise reunion with old friends.,Elation,4/2/2020,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada
126,The euphoria of a live music concert under the stars.,Euphoria,6/19/2021,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA
127,Contentment in the simplicity of a quiet Sunday.,Contentment,8/15/2010,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia
128,Serenity found in the pages of a favorite book.,Serenity,9/22/2011,BookLover3,Instagram,#Serenity #BookTime,22,45,UK
129,Gratitude for the support received during tough times.,Gratitude,3/10/2012,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India
130,Hopeful about the possibilities of a new journey.,Hope,12/5/2013,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada
131,Empowerment through learning and personal growth.,Empowerment,7/20/2014,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA
132,Compassion towards those in need during the holidays.,Compassion,12/22/2015,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA
133,Tenderness in the warmth of a cozy winter evening.,Tenderness,2/10/2016,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK
134,Arousal of excitement for an upcoming adventure.,Arousal,4/30/2017,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia
135,Enthusiasm for a creative project in the making.,Enthusiasm,9/15/2018,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada
136,Fulfillment in completing a challenging workout routine.,Fulfillment,6/28/2019,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India
137,Reverence for the artistry displayed in a museum.,Reverence,11/11/2020,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK
138,Elation after achieving a personal goal.,Elation,3/2/2021,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA
139,Elation over discovering a hidden gem in the city.,Elation,2/18/2012,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA
140,The euphoria of a surprise birthday celebration.,Euphoria,11/5/2018,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK
141,Contentment in the simplicity of a home-cooked meal.,Contentment,9/12/2015,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India
142,Serenity found in the melody of a peaceful piano.,Serenity,7/30/2016,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada
143,Gratitude for the supportive community around me.,Gratitude,4/20/2013,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA
144,Hopeful about the prospects of a new business venture.,Hope,12/8/2017,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada
145,Empowerment through mentoring and guiding others.,Empowerment,6/3/2014,MentorEmpower,Twitter,#Empowerment #Mentorship,15,30,UK
146,Compassion shown through acts of kindness in the community.,Compassion,1/15/2019,KindnessInAction,Instagram,#Compassion #CommunityKindness,18,35,Australia
147,Tenderness in a heartfelt message to a loved one.,Tenderness,12/25/2016,LoveExpress,Facebook,#Tenderness #LoveNote,25,50,UK
148,Arousal of excitement before a much-awaited trip.,Arousal,3/10/2018,TravelExcitement,Twitter,#Arousal #TravelAdventure,20,40,India
149,Enthusiasm for a new artistic project in the works.,Enthusiasm,9/17/2020,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15,30,USA
150,Feeling a sense of fulfillment after helping others.,Fulfillment,8/28/2011,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22,45,Canada
151,Reverence for the historical significance of a landmark.,Reverence,11/1/2017,HistoryBuff,Twitter,#Reverence #HistoricalSite,18,35,Australia
152,Elation after achieving a fitness milestone.,Elation,6/15/2019,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25,50,UK
153,The euphoria of a successful product launch.,Euphoria,4/3/2022,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15,30,USA
154,Contentment in the embrace of a loved one.,Contentment,11/12/2010,LovingEmbrace,Twitter,#Contentment #Love,30,60,India
155,Serenity found in the beauty of a sunset by the sea.,Serenity,7/22/2011,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22,45,Canada
156,Gratitude for the small joys that each day brings.,Gratitude,3/30/2012,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15,30,Australia
157,Hopeful about the potential for personal growth.,Hope,10/5/2013,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18,35,UK
158,Empowerment through learning a new skill.,Empowerment,7/10/2014,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25,50,India
159,Compassion in volunteering for a local charity.,Compassion,12/18/2015,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18,35,USA
160,Tenderness in a quiet moment shared with a pet.,Tenderness,2/10/2016,PetLove,Twitter,#Tenderness #PetLove,25,50,Canada
161,Arousal of excitement for an upcoming festival.,Arousal,9/25/2017,FestivalFan,Instagram,#Arousal #FestivalExcitement,20,40,UK
162,Enthusiasm for a DIY home improvement project.,Enthusiasm,4/15/2018,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15,30,Australia
163,Fulfillment in completing a challenging puzzle.,Fulfillment,11/28/2019,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22,45,India
164,Reverence for the wonders of nature on a hiking trail.,Reverence,5/11/2020,NatureAdmirer,Instagram,#Reverence #NatureExploration,18,35,USA
165,Elation after a surprise reunion with a childhood friend.,Elation,2/5/2021,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25,50,Canada
166,Suffering from despair after another setback.,Despair,3/10/2021,StrugglingSoul,Twitter,#Despair #Struggle,5,10,USA
167,"Overwhelmed by grief, missing a loved one dearly.",Grief,7/5/2022,MourningHeart,Instagram,#Grief #Loss,8,15,Canada
168,Loneliness creeps in as the night grows colder.,Loneliness,11/18/2019,SolitarySoul,Facebook,#Loneliness #Isolation,10,20,UK
169,Jealousy consumes me as I witness others' success.,Jealousy,8/12/2020,EnviousObserver,Twitter,#Jealousy #Envy,12,25,India
170,Resentment building up over past betrayals.,Resentment,5/22/2018,BitterHeart,Instagram,#Resentment #Bitterness,7,15,Australia
171,Frustration mounts as obstacles block my path.,Frustration,1/30/2017,BlockedGoals,Facebook,#Frustration #Obstacles,10,20,USA
172,"Boredom sets in, the day feels endlessly dull.",Boredom,9/28/2016,BoredMind,Twitter,#Boredom #LackOfInterest,8,15,Canada
173,"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,4/15/2019,WorriedMind,Instagram,#Anxiety #Worry,12,25,UK
174,Intimidation by the unknown future ahead.,Intimidation,12/3/2021,FearfulSoul,Facebook,#Intimidation #Fear,15,30,India
175,Helplessness sinks in as challenges pile up.,Helplessness,6/20/2020,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8,15,Australia
176,Envy eats away at me as I see others' prosperity.,Envy,11/7/2018,CovetousMind,Instagram,#Envy #Desire,10,20,Canada
177,Regret over missed opportunities haunts my thoughts.,Regret,8/25/2017,RemorsefulSoul,Facebook,#Regret #MissedChances,12,25,UK
178,Disgust at the sight of injustice and cruelty.,Disgust,2/11/2019,DisgustedHeart,Twitter,#Disgust #Injustice,7,15,India
179,"Drowning in despair, hope slipping through my fingers.",Despair,4/2/2016,HopelessHeart,Instagram,#Despair #Hopeless,10,20,USA
180,"Grief weighs heavy, tears a constant companion.",Grief,10/18/2015,TearfulSoul,Facebook,#Grief #Tears,12,25,Canada
181,"Loneliness in a crowded room, a silent cry for connection.",Loneliness,7/12/2019,IsolatedMind,Twitter,#Loneliness #SeekingConnection,15,30,UK
182,"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,6/3/2018,SelfDoubt,Instagram,#Jealousy #Insecurity,8,15,India
183,"Resentment festers, poisoning relationships.",Resentment,1/15/2022,BrokenTrust,Facebook,#Resentment #BrokenTrust,10,20,Australia
184,"Frustration boils over, a volcanic eruption of emotions.",Frustration,4/10/2017,ExplosiveMind,Twitter,#Frustration #EmotionalOutburst,12,25,USA
185,"Boredom settles like dust, life feels mundane.",Boredom,11/28/2016,MundaneHeart,Instagram,#Boredom #Monotony,7,15,Canada
186,"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,9/5/2018,RestlessMind,Facebook,#Anxiety #Restlessness,10,20,UK
187,"Intimidation by the challenges ahead, fear takes hold.",Intimidation,10/22/2021,FearfulJourney,Twitter,#Intimidation #FacingFear,15,30,India
188,"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,5/8/2019,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8,15,Australia
189,"Envy poisons my thoughts, coveting others' success.",Envy,3/20/2017,GreenEyedMonster,Facebook,#Envy #Success,10,20,Canada
190,Regret for decisions that led to a painful present.,Regret,12/15/2018,RegretfulMind,Twitter,#Regret #PastChoices,12,25,USA
191,Disgust at the corruption that stains society.,Disgust,7/1/2016,CorruptedHeart,Instagram,#Disgust #Corruption,7,15,UK
192,"Sinking in despair, each day darker than the last.",Despair,8/20/2020,DrowningSoul,Facebook,#Despair #DarkDays,10,20,India
193,"Grief overwhelms, a storm of emotions within.",Grief,2/25/2021,StormyHeart,Twitter,#Grief #EmotionalStorm,12,25,Canada
194,"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,9/12/2019,EchoingSoul,Instagram,#Loneliness #YearningForConnection,15,30,Australia
195,"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,8/5/2018,PoisonedMind,Facebook,#Jealousy #Resentment,8,15,USA
196,"Resentment festers, a wound that refuses to heal.",Resentment,1/12/2017,UnforgivingSoul,Twitter,#Resentment #Unforgiving,10,20,India
197,"Frustration escalates, a thunderstorm of emotions.",Frustration,4/5/2022,ThunderingMind,Instagram,#Frustration #EmotionalOutburst,12,25,UK
198,"Boredom lingers, a stagnant pool of indifference.",Boredom,10/2/2021,StagnantHeart,Facebook,#Boredom #Stagnation,7,15,Canada
199,"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,4/15/2023,InquisitiveMind,Twitter,#Curiosity #Learning,15,30,USA
200,"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,11/28/2022,ApatheticObserver,Instagram,#Indifference #DigitalOverload,7,15,Canada
201,"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,4/2/2020,SeekingClarity,Facebook,#Confusion #LifePuzzle,10,20,UK
202,"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,8/10/2021,EmotionallyDistant,Twitter,#Numbness #EmotionalShield,8,15,India
203,"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,6/18/2019,SunsetDreamer,Instagram,#Melancholy #SunsetMoments,12,25,Australia
204,"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,2/5/2018,MemoryLaneTraveler,Facebook,#Nostalgia #MemoryLane,10,20,USA
205,"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,5/30/2022,MixedFeelings,Twitter,#Ambivalence #UncertainChoices,12,25,Canada
206,"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,1/10/2023,ZenLifestyle,Instagram,#Acceptance #LifeJourney,15,30,UK
207,"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,9/18/2020,ResilientSpirit,Facebook,#Determination #AchieveTheImpossible,10,20,India
208,"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,7/3/2021,NatureSoul,Twitter,#Serenity #NatureRetreat,12,25,Australia
209,"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,10/8/2022,EternalLearner,Instagram,#Curiosity #KnowledgeQuest,20,40,USA
210,"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,3/22/2023,AloofObserver,Facebook,#Indifference #FloatingThroughLife,10,20,Canada
211,"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,5/15/2021,ThoughtExplorer,Twitter,#Confusion #ThoughtLabyrinth,15,30,UK
212,"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,12/28/2019,StoicSoul,Instagram,#Numbness #StoicFacade,8,15,Australia
213,"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,3/1/2020,DreamerInSilence,Facebook,#Melancholy #WhispersInTheBreeze,12,25,India
